ticker;industry;lot;weight
SBER;FINANCE;10;0.139
SBERP;FINANCE;100;0.0108
GAZP;OIL&GAS;10;0.1488
LKOH;OIL&GAS;1;0.1224
MGNT;RETAIL;1;0.0623
NVTK;OIL&GAS;10;0.0597
SNGS;OIL&GAS;100;0.0307
SNGSP;OIL&GAS;100;0.018
GMKN;NON-FERROUS METALLURGY;1;0.0469
ROSN;OIL&GAS;10;0.0399
VTBR;FINANCE;10000;0.038
TATN;OIL&GAS;10;0.0305
TATNP;OIL&GAS;10;0.005
MTSS;TELECOM;10;0.0258
ALRS;MINING;100;0.0251
MOEX;FINANCE;10;0.0149
IRAO;ENERGY;1000;0.0137
POLY;MINING;1;0.0134
CHMF;FERROUS METALLURGY;10;0.0127
NLMK;FERROUS METALLURGY;10;0.0126
YNDX;OTHER;1;0.0116
AFLT;TRANSPORT;100;0.0098
TRNFP;OIL&GAS;1;0.009
PHOR;CHEMICAL;1;0.0085
HYDR;ENERGY;1000;0.0079
RTKM;TELECOM;10;0.0067
MFON;TELECOM;10;0.0063
RUAL;NON-FERROUS METALLURGY;100;0.0061
MAGN;FERROUS METALLURGY;100;0.0051
FEES;ENERGY;10000;0.005
AFKS;TELECOM;100;0.0049
PIKK;CONSTRUCTION;10;0.0036
EPLN;FINANCE;10;0.0034
UPRO;ENERGY;1000;0.0034
MVID;RETAIL;10;0.0033
MTLR;FERROUS METALLURGY;1;0.0033
PLZL;MINING;1;0.0032
TRMK;FERROUS METALLURGY;10;0.0029
CBOM;FINANCE;100;0.0029
URKA;CHEMICAL;10;0.0027
DSKY;RETAIL;10;0.0026
BANEP;OIL&GAS;1;0.0023
NMTP;TRANSPORT;1000;0.0023
AKRN;CHEMICAL;1;0.0022
UWGN;TRANSPORT;1;0.002
AGRO;AGRO;1;0.002
RSTI;ENERGY;1000;0.0019
LSRG;CONSTRUCTION;1;0.0018
MSNG;ENERGY;1000;0.0016
DIXY;RETAIL;10;0.0015
