"Date","SBER.ME","SBERP.ME","GAZP.ME","LKOH.ME","MGNT.ME","NVTK.ME","SNGS.ME","SNGSP.ME","GMKN.ME","ROSN.ME","VTBR.ME","TATN.ME","TATNP.ME","MTSS.ME","ALRS.ME","MOEX.ME","IRAO.ME","POLY.ME","CHMF.ME","NLMK.ME","YNDX.ME","AFLT.ME","TRNFP.ME","PHOR.ME","HYDR.ME","RTKM.ME","MFON.ME","RUAL.ME","MAGN.ME","FEES.ME","AFKS.ME","PIKK.ME","EPLN.ME","UPRO.ME","MVID.ME","MTLR.ME","PLZL.ME","TRMK.ME","CBOM.ME","URKA.ME","DSKY.ME","BANEP.ME","NMTP.ME","AKRN.ME","UWGN.ME","AGRO.ME","RSTI.ME","LSRG.ME","MSNG.ME","DIXY.ME"
2016-06-24,133.399994,91.010002,139.77,2725,8280,630.299988,33.695,39.200001,8380,333.649994,0.06878,325.649994,174.699997,238.149994,72.150002,114.099998,2.58,824,679,81.059998,1379.5,83.419998,163200,2779,0.6008,93.099998,676.5,20.700001,23.799999,0.14315,20.055,250,618,2.698,307.100006,54.200001,4662,45.599998,3.925,180,NA,1865,4.11,3420,718.565979,931,0.59922,809.5,1.508,294.299988
2016-06-27,126.199997,87,141.03,2631,8320,628.400024,32.900002,38.755001,8285,328.049988,0.067,316,172.800003,234.5,70,112,2.399,834,656.799988,79,1291,83,163600,2769,0.5929,92.639999,662,19.34,23.004999,0.151,19.82,250,619,2.712,313.799988,52.75,4689,45.049999,3.95,177.850006,NA,1841.5,4.145,3400,716.08197,973,0.60221,826,1.594,289.899994
2016-06-28,129.570007,88.459999,139.2,2628,8300,627.799988,32.895,38.744999,8480,327,0.06763,322.350006,175.199997,240.800003,69.900002,112.989998,2.2755,847.5,682.400024,82.650002,1336,81.199997,165200,2788,0.5936,91.830002,665.5,19.389999,23.055,0.153,19.639999,250,619,2.739,320,58.299999,4692,45.299999,3.955,179.649994,NA,1865,4.275,3400,721.051025,968,0.60671,824,1.6405,293.700012
2016-06-29,133.880005,90.349998,139.61,2668,8700,641.900024,33.240002,38.400002,8485,331.5,0.0687,328.649994,176.899994,243.5,69.5,113.75,2.45,858.5,697.5,83.410004,1372.5,83.410004,169400,2785,0.6,91.879997,667,20.02,24.025,0.153,20.540001,250,621,2.731,326.799988,57.09,4698,45,3.985,178.449997,NA,1900,4.24,3475,725.52301,956,0.6092,830,1.622,297.100006
2016-06-30,133,90,140.07,2684,9012,647.599976,33.205002,38.400002,8540,330,0.068,331.5,176.5,243.050003,69.290001,112.519997,2.524,883.5,700.700012,83,1399,85.5,166500,2757,0.616,92.199997,670.5,20.23,24,0.1565,20.450001,250,620,2.748,301.700012,56.709999,4696,44.849998,3.98,174.800003,NA,1901.5,4.155,3495,726.02002,935,0.61919,823,1.615,298.799988
2016-07-01,133.850006,90.800003,139.85,2707,9101,644.200012,32.959999,38.605,8496,332.450012,0.06735,331.5,178.399994,245.050003,68.5,112.440002,2.47,888,699.099976,83.699997,1403,86.010002,166500,2742,0.6307,91.5,688.5,20.16,24.225,0.15815,21.35,249.300003,618,2.596,299.299988,56.5,4681,44.900002,3.995,177,NA,1900,4.205,3430,728.007996,950,0.6147,823.5,1.5705,300.5
2016-07-04,134.600006,90.730003,140.6,2745,9145,641.5,33.044998,39.005001,8861,331.200012,0.06739,327.299988,178.300003,235.449997,69.5,112.900002,2.44,919.5,684.099976,84.110001,1390,85.169998,165400,2718,0.624,91.949997,700,21.200001,24.43,0.16821,21.290001,249.800003,620,2.604,299.799988,56.720001,4681,47.5,4.005,178.5,NA,1906,4.135,3465,729.995972,951,0.61689,843,1.62,303.399994
2016-07-05,131.850006,89,141.71,2769.5,8950,634.099976,32.900002,39.540001,8809,329.399994,0.06701,322,176.399994,235.149994,69.599998,110.779999,2.551,912.5,691.799988,82.120003,1383,86.480003,163300,2649,0.6218,91.900002,705,20.99,23.700001,0.167,21.610001,250,621,2.605,296.700012,56.25,4697,47.049999,3.975,178.899994,NA,1899,4.29,3455,726.517029,948,0.65474,859,1.678,300.700012
2016-07-06,129.360001,88.260002,140.8,2732,8760,632,32.139999,39.849998,8772,320.5,0.06723,321.149994,177.199997,235.199997,68.709999,111,2.54,949,701,84.139999,1372,86.449997,162600,2580,0.6185,92.010002,708,20.790001,24.780001,0.1643,21.225,248.899994,622,2.596,293.5,55.130001,4690,47.200001,3.96,181,NA,1899,4.2,3450,724.530029,955,0.71097,828.5,1.68,299.100006
2016-07-07,131.800003,90.160004,140.33,2748,8753,640,31.950001,39.490002,8720,320.899994,0.06805,314.350006,170.699997,231.5,67.629997,113.059998,2.539,920,676.099976,81.150002,1390,87.440002,160100,2626,0.598,88.489998,702,20.82,24.700001,0.16339,21.27,249.5,621,2.65,288,55.560001,4682,46.650002,3.985,180.5,NA,1910,4.245,3430,728.007996,954,0.6911,851,1.6815,301
